DATE.ADDED.TO.CATALOG	PUBMEDID	FIRST.AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE.TRAIT	INITIAL.SAMPLE.SIZE	REPLICATION.SAMPLE.SIZE	PLATFORM..SNPS.PASSING.QC.	ASSOCIATION.COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY.ACCESSION	GENOTYPING.TECHNOLOGY	path	fullpath	nsamples_arg	has_required_header	has_pvalue
2018-04-25	23143594	Tsoi LC	2012-12-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23143594	Identification of 15 new psoriasis susceptibility loci highlights the role of innate immunity.	Psoriasis	10,588 European ancestry cases, 22,806 European ancestry controls	NA	Illumina [111236] (imputed)	41	psoriasis	http://www.ebi.ac.uk/efo/EFO_0000676	GCST005527	Targeted genotyping array [ImmunoChip]	./GCST005001-GCST006000/GCST005527/harmonised/23143594-GCST005527-EFO_0000676.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005527/harmonised/23143594-GCST005527-EFO_0000676.h.tsv.gz	nfe=33394	TRUE	TRUE
2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Paternal history of Alzheimer's disease	14,338 British ancestry cases, 245,941 British ancestry controls	NA	Affymetrix [7795605] (imputed)	2	family history of Alzheimer’s disease	http://www.ebi.ac.uk/efo/EFO_0009268	GCST005920	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005920/harmonised/29777097-GCST005920-EFO_0009268.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005920/harmonised/29777097-GCST005920-EFO_0009268.h.tsv.gz	nfe=260279	TRUE	TRUE
2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Family history of Alzheimer's disease	up to 42,034 British ancestry individuals with parental history of Alzheimer's disease, at least 272,244 European ancestry individuals with no parental history of Alzheimer's disease	NA	Affymetrix [7795605] (imputed)	61	family history of Alzheimer’s disease	http://www.ebi.ac.uk/efo/EFO_0009268	GCST005921	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005921/harmonised/29777097-GCST005921-EFO_0009268.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005921/harmonised/29777097-GCST005921-EFO_0009268.h.tsv.gz	nfe=314278	TRUE	TRUE
2018-07-20	29777097	Marioni RE	2018-05-18	Transl Psychiatry	www.ncbi.nlm.nih.gov/pubmed/29777097	GWAS on family history of Alzheimer's disease.	Maternal history of Alzheimer's disease	27,696 British ancestry cases, 260,980 British ancestry controls	NA	Affymetrix [7795605] (imputed)	6	family history of Alzheimer’s disease	http://www.ebi.ac.uk/efo/EFO_0009268	GCST005923	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005923/harmonised/29777097-GCST005923-EFO_0009268.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005923/harmonised/29777097-GCST005923-EFO_0009268.h.tsv.gz	nfe=288676	TRUE	TRUE
2018-01-30	29273806	Demenais F	2017-12-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29273806	Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.	Asthma	19,954 European ancestry cases, 107,715 European ancestry controls, 2,149 African ancestry cases, 6,055 African ancestry controls, 1,239 Japanese ancestry cases, 3,976 Japanese ancestry controls, 606 Latino cases, 792 Latino controls	NA	Affymetrix, Illumina, Perlegen [2831075] (imputed)	40			GCST005212	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005212/harmonised/29273806-GCST005212-EFO_0000270.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005212/harmonised/29273806-GCST005212-EFO_0000270.h.tsv.gz	eas=5215 amr=1398 afr=8204 nfe=127669	TRUE	TRUE
2019-01-09	29273806	Demenais F	2017-12-22	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29273806	Multiancestry association study identifies new asthma risk loci that colocalize with immune-cell enhancer marks.	Asthma	19,954 European ancestry cases, 107,715 European ancestry controls	NA	Affymetrix, Illumina, Perlegen [2831075] (imputed)	24			GCST006862	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006862/harmonised/29273806-GCST006862-EFO_0000270.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006862/harmonised/29273806-GCST006862-EFO_0000270.h.tsv.gz	nfe=127669	TRUE	TRUE
2018-03-05	29304378	Medina-Gomez C	2018-01-04	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/29304378	Life-Course Genome-wide Association Study Meta-analysis of Total Body BMD and Assessment of Age-Specific Effects.	Total body bone mineral density	56,284 European ancestry individuals, up to 1,333 African American individuals, up to 9,328 admixed individuals	NA	Affymetrix, Illumina [~ 23700000] (imputed)	242	bone density	http://www.ebi.ac.uk/efo/EFO_0003923	GCST005348	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005348/harmonised/29304378-GCST005348-EFO_0003923.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005348/harmonised/29304378-GCST005348-EFO_0003923.h.tsv.gz	afr=1333 nfe=56284	TRUE	TRUE
2018-03-05	29304378	Medina-Gomez C	2018-01-04	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/29304378	Life-Course Genome-wide Association Study Meta-analysis of Total Body BMD and Assessment of Age-Specific Effects.	Total body bone mineral density (age 45-60)	18,805 European individuals	NA	Affymetrix, Illumina [~ 23700000] (imputed)	18	bone density	http://www.ebi.ac.uk/efo/EFO_0003923	GCST005350	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005350/harmonised/29304378-GCST005350-EFO_0003923.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005350/harmonised/29304378-GCST005350-EFO_0003923.h.tsv.gz	nfe=18805	TRUE	TRUE
2018-02-22	29309628	Beaumont RN	2018-01-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/29309628	Genome-wide association study of offspring birth weight in 86 577 women identifies five novel loci and highlights maternal genetic effects that are independent of fetal genetics.	Offspring birth weight	68,258 European ancestry women	18,319 European ancestry women	Affymetrix, Illumina, Perlegen [up to 8741107] (imputed)	2	birth weight, parental genotype effect measurement	http://www.ebi.ac.uk/efo/EFO_0004344, http://www.ebi.ac.uk/efo/EFO_0005939	GCST005314	Genome-wide genotyping array	./GCST005001-GCST006000/GCST005314/harmonised/29309628-GCST005314-EFO_0004344.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005314/harmonised/29309628-GCST005314-EFO_0004344.h.tsv.gz	nfe=68258	TRUE	TRUE
2018-05-08	23143596	Eyre S	2012-12-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23143596	High-density genetic mapping identifies new susceptibility loci for rheumatoid arthritis.	Rheumatoid arthritis	up to 13,838 European ancestry cases, up to 33,742 European ancestry controls	NA	Illumina [129464] (imputed)	50	rheumatoid arthritis	http://www.ebi.ac.uk/efo/EFO_0000685	GCST005569	Genome-wide genotyping array, Targeted genotyping array [ImmunoChip]	./GCST005001-GCST006000/GCST005569/harmonised/23143596-GCST005569-EFO_0000685.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005569/harmonised/23143596-GCST005569-EFO_0000685.h.tsv.gz	nfe=47580	TRUE	TRUE
2018-04-25	24076602	Beecham AH	2013-11-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/24076602	Analysis of immune-related loci identifies 48 new susceptibility variants for multiple sclerosis.	Multiple sclerosis	14,498 European ancestry cases, 24,091 European ancestry controls	14,802 European ancestry cases, 26,703 European ancestry controls	Illumina [161311]	126			GCST005531	Targeted genotyping array [ImmunoChip]	./GCST005001-GCST006000/GCST005531/harmonised/24076602-GCST005531-EFO_0003885.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST005001-GCST006000/GCST005531/harmonised/24076602-GCST005531-EFO_0003885.h.tsv.gz	nfe=38582	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Neurociticism	380,506 European ancestry individuals	NA	NR [10847151] (imputed)	181	neuroticism measurement	http://www.ebi.ac.uk/efo/EFO_0007660	GCST006940	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006940/harmonised/29500382-GCST006940-EFO_0007660.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006940/harmonised/29500382-GCST006940-EFO_0007660.h.tsv.gz	nfe=380506	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Irritable mood	366,726 European ancestry individuals	NA	NR [~ 10847151] (imputed)	67	irritability measurement	http://www.ebi.ac.uk/efo/EFO_0009594	GCST006941	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006941/harmonised/29500382-GCST006941-EFO_0009594.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006941/harmonised/29500382-GCST006941-EFO_0009594.h.tsv.gz	nfe=366726	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling lonely	376,352 European ancestry individuals	NA	NR [10847151] (imputed)	10	loneliness measurement	http://www.ebi.ac.uk/efo/EFO_0007865	GCST006942	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006942/harmonised/29500382-GCST006942-EFO_0007865.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006942/harmonised/29500382-GCST006942-EFO_0007865.h.tsv.gz	nfe=376352	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling miserable	376,097 European ancestry individuals	NA	NR [10847151] (imputed)	64	feeling miserable measurement	http://www.ebi.ac.uk/efo/EFO_0009598	GCST006943	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006943/harmonised/29500382-GCST006943-EFO_0009598.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006943/harmonised/29500382-GCST006943-EFO_0009598.h.tsv.gz	nfe=376097	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Experiencing mood swings	373,733 European ancestry individuals	NA	NR [10847151] (imputed)	69	mood instability measurement	http://www.ebi.ac.uk/efo/EFO_0008475	GCST006944	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006944/harmonised/29500382-GCST006944-EFO_0008475.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006944/harmonised/29500382-GCST006944-EFO_0008475.h.tsv.gz	nfe=373733	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling guilty	373,380 European ancestry individuals	NA	NR [10847151] (imputed)	29	guilt measurement	http://www.ebi.ac.uk/efo/EFO_0009595	GCST006945	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006945/harmonised/29500382-GCST006945-EFO_0009595.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006945/harmonised/29500382-GCST006945-EFO_0009595.h.tsv.gz	nfe=373380	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Worry too long after an embarrassing experience	367,725 European ancestry individuals	NA	NR [10847151] (imputed)	34	worry measurement	http://www.ebi.ac.uk/efo/EFO_0009589	GCST006946	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006946/harmonised/29500382-GCST006946-EFO_0009589.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006946/harmonised/29500382-GCST006946-EFO_0009589.h.tsv.gz	nfe=367725	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling fed-up	374,971 European ancestry individuals	NA	NR [10847151] (imputed)	60	feeling "fed-up" measurement	http://www.ebi.ac.uk/efo/EFO_0009588	GCST006947	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006947/harmonised/29500382-GCST006947-EFO_0009588.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006947/harmonised/29500382-GCST006947-EFO_0009588.h.tsv.gz	nfe=374971	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling nervous	373,121 European ancestry individuals	NA	NR [10847151] (imputed)	67	feeling nervous measurement	http://www.ebi.ac.uk/efo/EFO_0009597	GCST006948	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006948/harmonised/29500382-GCST006948-EFO_0009597.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006948/harmonised/29500382-GCST006948-EFO_0009597.h.tsv.gz	nfe=373121	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling worry	372,869 European ancestry individuals	NA	NR [10847151] (imputed)	71	worry measurement	http://www.ebi.ac.uk/efo/EFO_0009589	GCST006950	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006950/harmonised/29500382-GCST006950-EFO_0009589.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006950/harmonised/29500382-GCST006950-EFO_0009589.h.tsv.gz	nfe=372869	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling hurt	372,047 European ancestry individuals	NA	NR [10847151] (imputed)	46	feeling emotionally hurt measurement	http://www.ebi.ac.uk/efo/EFO_0009599	GCST006951	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006951/harmonised/29500382-GCST006951-EFO_0009599.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006951/harmonised/29500382-GCST006951-EFO_0009599.h.tsv.gz	nfe=372047	TRUE	TRUE
2019-01-22	29500382	Nagel M	2018-03-02	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/29500382	Item-level analyses reveal genetic heterogeneity in neuroticism.	Feeling tense	371,318 European ancestry individuals	NA	NR [10847151] (imputed)	33	feeling tense measurement	http://www.ebi.ac.uk/efo/EFO_0009596	GCST006952	Genome-wide genotyping array	./GCST006001-GCST007000/GCST006952/harmonised/29500382-GCST006952-EFO_0009596.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006952/harmonised/29500382-GCST006952-EFO_0009596.h.tsv.gz	nfe=371318	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Red cell distribution width	13,519 African American or Afro-Caribbean and African ancestry individuals	NA	Affymetrix, Illumina [36660117] (imputed)	5	red blood cell distribution width	http://www.ebi.ac.uk/efo/EFO_0005192	GCST90002368	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002368/harmonised/32888493-GCST90002368-EFO_0005192.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002368/harmonised/32888493-GCST90002368-EFO_0005192.h.tsv.gz	afr=13519	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Red cell distribution width	531,774 European ancestry individuals	NA	Affymetrix, Illumina [49860007] (imputed)	385	red blood cell distribution width	http://www.ebi.ac.uk/efo/EFO_0005192	GCST90002369	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002369/harmonised/32888493-GCST90002369-EFO_0005192.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002369/harmonised/32888493-GCST90002369-EFO_0005192.h.tsv.gz	nfe=531774	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	White blood cell count	15,061 African American or Afro-Caribbean and African ancestry individuals	NA	Affymetrix, Illumina [36864690] (imputed)	22	myeloid white cell count	http://www.ebi.ac.uk/efo/EFO_0007988	GCST90002373	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002373/harmonised/32888493-GCST90002373-EFO_0007988.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002373/harmonised/32888493-GCST90002373-EFO_0007988.h.tsv.gz	afr=15061	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	White blood cell count	562,243 European ancestry individuals	NA	Affymetrix, Illumina [50601830] (imputed)	478	myeloid white cell count	http://www.ebi.ac.uk/efo/EFO_0007988	GCST90002374	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002374/harmonised/32888493-GCST90002374-EFO_0007988.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002374/harmonised/32888493-GCST90002374-EFO_0007988.h.tsv.gz	nfe=562243	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	White blood cell count	151,807 East Asian ancestry individuals	NA	Affymetrix, Illumina [16710636] (imputed)	38	myeloid white cell count	http://www.ebi.ac.uk/efo/EFO_0007988	GCST90002375	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002375/harmonised/32888493-GCST90002375-EFO_0007988.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002375/harmonised/32888493-GCST90002375-EFO_0007988.h.tsv.gz	eas=151807	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Lymphocyte counts	524,923 European ancestry individuals	NA	Affymetrix, Illumina [50265552] (imputed)	465	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0004587	GCST90002316	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002316/harmonised/32888493-GCST90002316-EFO_0004587.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002316/harmonised/32888493-GCST90002316-EFO_0004587.h.tsv.gz	nfe=524923	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Lymphocyte counts	89,266 East Asian ancestry individuals	NA	Affymetrix, Illumina [16289068] (imputed)	16	lymphocyte count	http://www.ebi.ac.uk/efo/EFO_0004587	GCST90002317	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002317/harmonised/32888493-GCST90002317-EFO_0004587.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002317/harmonised/32888493-GCST90002317-EFO_0004587.h.tsv.gz	eas=89266	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular hemoglobin	11,974 African American or Afro-Caribbean and African ancestry individuals	NA	Affymetrix, Illumina [36043646] (imputed)	7	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST90002321	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002321/harmonised/32888493-GCST90002321-EFO_0004528.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002321/harmonised/32888493-GCST90002321-EFO_0004528.h.tsv.gz	afr=11974	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular hemoglobin	486,823 European ancestry individuals	NA	Affymetrix, Illumina [50266654] (imputed)	423	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST90002322	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002322/harmonised/32888493-GCST90002322-EFO_0004528.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002322/harmonised/32888493-GCST90002322-EFO_0004528.h.tsv.gz	nfe=486823	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular hemoglobin	119,629 East Asian ancestry individuals	NA	Affymetrix, Illumina [16286228] (imputed)	77	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST90002323	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002323/harmonised/32888493-GCST90002323-EFO_0004528.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002323/harmonised/32888493-GCST90002323-EFO_0004528.h.tsv.gz	eas=119629	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular hemoglobin concentration	12,766 African American or Afro-Caribbean and African ancestry individuals	NA	Affymetrix, Illumina [36221496] (imputed)	2	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST90002327	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002327/harmonised/32888493-GCST90002327-EFO_0004528.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002327/harmonised/32888493-GCST90002327-EFO_0004528.h.tsv.gz	afr=12766	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular hemoglobin concentration	491,553 European ancestry individuals	NA	Affymetrix, Illumina [50282193] (imputed)	191	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST90002328	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002328/harmonised/32888493-GCST90002328-EFO_0004528.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002328/harmonised/32888493-GCST90002328-EFO_0004528.h.tsv.gz	nfe=491553	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular hemoglobin concentration	126,151 East Asian ancestry individuals	NA	Affymetrix, Illumina [16289083] (imputed)	36	mean corpuscular hemoglobin concentration	http://www.ebi.ac.uk/efo/EFO_0004528	GCST90002329	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002329/harmonised/32888493-GCST90002329-EFO_0004528.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002329/harmonised/32888493-GCST90002329-EFO_0004528.h.tsv.gz	eas=126151	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular volume	14,222 African American or Afro-Caribbean and African ancestry individuals	NA	Affymetrix, Illumina [36679766] (imputed)	2	mean corpuscular volume	http://www.ebi.ac.uk/efo/EFO_0004526	GCST90002333	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002333/harmonised/32888493-GCST90002333-EFO_0004526.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002333/harmonised/32888493-GCST90002333-EFO_0004526.h.tsv.gz	afr=14222	TRUE	TRUE
2020-09-21	32888493	Chen MH	2020-09-01	Cell	www.ncbi.nlm.nih.gov/pubmed/32888493	Trans-ethnic and Ancestry-Specific Blood-Cell Genetics in 746,667 Individuals from 5 Global Populations.	Mean corpuscular volume	544,127 European ancestry individuals	NA	Affymetrix, Illumina [50615308] (imputed)	466	mean corpuscular volume	http://www.ebi.ac.uk/efo/EFO_0004526	GCST90002334	Genome-wide genotyping array	./GCST90002001-GCST90003000/GCST90002334/harmonised/32888493-GCST90002334-EFO_0004526.h.tsv.gz	http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90002001-GCST90003000/GCST90002334/harmonised/32888493-GCST90002334-EFO_0004526.h.tsv.gz	nfe=544127	TRUE	TRUE
